mesh_name;object_name;triangle_index;material_name;v0_x;v0_y;v0_z;v1_x;v1_y;v1_z;v2_x;v2_y;v2_z;normal;diffuse_color;specular_color;kd;ks;shininess
Sphere;Sphere;443;sphere_reflective;2.206031;1.353553;-0.196424;2.303576;1.415735;-0.196424;2.250000;1.353553;-0.250000;(-0.491809, 0.771502, -0.403620);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;444;sphere_reflective;2.154329;0.722215;-0.230970;2.250000;0.646447;-0.250000;2.206031;0.646447;-0.196424;(-0.598701, -0.632563, -0.491345);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;445;sphere_reflective;2.206031;1.353553;-0.196424;2.206031;1.277785;-0.293969;2.154329;1.277785;-0.230970;(-0.598703, 0.632564, -0.491343);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;446;sphere_reflective;2.206031;0.646447;-0.196424;2.303576;0.584265;-0.196424;2.269030;0.584265;-0.154329;(-0.491811, -0.771504, -0.403613);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;447;sphere_reflective;2.115911;1.191342;-0.256640;2.206031;1.277785;-0.293969;2.173359;1.191342;-0.326641;(-0.682463, 0.469632, -0.560080);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;448;sphere_reflective;2.206031;0.722215;-0.293969;2.243360;0.808658;-0.384089;2.269030;0.722215;-0.345671;(-0.560083, -0.469629, -0.682463);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;449;sphere_reflective;2.303576;1.415735;-0.196424;2.303576;1.353553;-0.293969;2.250000;1.353553;-0.250000;(-0.403620, 0.771502, -0.491809);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;450;sphere_reflective;2.206031;0.722215;-0.293969;2.303576;0.646447;-0.293969;2.250000;0.646447;-0.250000;(-0.491344, -0.632565, -0.598701);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;451;sphere_reflective;2.206031;1.277785;-0.293969;2.303576;1.353553;-0.293969;2.269030;1.277785;-0.345671;(-0.491343, 0.632564, -0.598703);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;452;sphere_reflective;2.303576;0.584265;-0.196424;2.303576;0.646447;-0.293969;2.345671;0.584265;-0.230970;(-0.403613, -0.771504, -0.491811);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;453;sphere_reflective;2.206031;1.277785;-0.293969;2.243360;1.191342;-0.384089;2.173359;1.191342;-0.326641;(-0.560080, 0.469632, -0.682463);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;454;sphere_reflective;2.303576;0.584265;-0.196424;2.393696;0.538060;-0.159095;2.364701;0.538060;-0.135299;(-0.300177, -0.880973, -0.365760);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;455;sphere_reflective;2.173359;1.191342;-0.326641;2.227553;1.097545;-0.407746;2.153240;1.097545;-0.346760;(-0.607317, 0.288999, -0.740031);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;456;sphere_reflective;2.431025;0.509607;-0.068975;2.393696;0.538060;-0.159095;2.445807;0.509607;-0.081106;(-0.184968, -0.956549, -0.225389);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;457;sphere_reflective;2.153240;1.097545;-0.346760;2.222215;1.000000;-0.415734;2.146447;1.000000;-0.353553;(-0.631367, 0.097544, -0.769325);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;458;sphere_reflective;2.431025;1.490393;-0.068975;2.500000;1.500000;-0.000000;2.445807;1.490393;-0.081106;(-0.062476, 0.995139, -0.076129);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;459;sphere_reflective;2.500000;0.500000;-0.000000;2.431025;0.509607;-0.068975;2.445807;0.509607;-0.081106;(-0.062476, -0.995139, -0.076129);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;460;sphere_reflective;2.153240;0.902455;-0.346760;2.222215;1.000000;-0.415734;2.227553;0.902455;-0.407746;(-0.631361, -0.097551, -0.769329);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;461;sphere_reflective;2.431025;1.490393;-0.068975;2.393696;1.461940;-0.159095;2.364701;1.461940;-0.135299;(-0.184973, 0.956549, -0.225386);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;462;sphere_reflective;2.173359;0.808658;-0.326641;2.227553;0.902455;-0.407746;2.243360;0.808658;-0.384089;(-0.607322, -0.288994, -0.740028);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;463;sphere_reflective;2.303576;1.415735;-0.196424;2.393696;1.461940;-0.159095;2.345671;1.415735;-0.230970;(-0.300173, 0.880972, -0.365767);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;464;sphere_reflective;2.445807;0.509607;-0.081106;2.426777;0.538060;-0.176777;2.462671;0.509607;-0.090120;(-0.137446, -0.956549, -0.257143);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;465;sphere_reflective;2.222215;1.000000;-0.415734;2.312335;1.097545;-0.453063;2.308659;1.000000;-0.461939;(-0.469146, 0.097547, -0.877717);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;466;sphere_reflective;2.445807;1.490393;-0.081106;2.500000;1.500000;-0.000000;2.462671;1.490393;-0.090120;(-0.046425, 0.995139, -0.086854);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;467;sphere_reflective;2.500000;0.500000;-0.000000;2.445807;0.509607;-0.081106;2.462671;0.509607;-0.090120;(-0.046425, -0.995139, -0.086854);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;468;sphere_reflective;2.222215;1.000000;-0.415734;2.312335;0.902455;-0.453063;2.227553;0.902455;-0.407746;(-0.469149, -0.097550, -0.877715);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;469;sphere_reflective;2.445807;1.490393;-0.081106;2.426777;1.461940;-0.176777;2.393696;1.461940;-0.159095;(-0.137445, 0.956549, -0.257143);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;470;sphere_reflective;2.227553;0.902455;-0.407746;2.323223;0.808658;-0.426776;2.243360;0.808658;-0.384089;(-0.451277, -0.288994, -0.844293);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;471;sphere_reflective;2.393696;1.461940;-0.159095;2.393697;1.415735;-0.256640;2.345671;1.415735;-0.230970;(-0.223048, 0.880971, -0.417300);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;472;sphere_reflective;2.269030;0.722215;-0.345671;2.323223;0.808658;-0.426776;2.340905;0.722215;-0.384089;(-0.416180, -0.469625, -0.778618);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;473;sphere_reflective;2.345671;1.415735;-0.230970;2.364701;1.353553;-0.326641;2.303576;1.353553;-0.293969;(-0.299914, 0.771504, -0.561100);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;474;sphere_reflective;2.269030;0.722215;-0.345671;2.364701;0.646447;-0.326641;2.303576;0.646447;-0.293969;(-0.365101, -0.632564, -0.683055);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;475;sphere_reflective;2.269030;1.277785;-0.345671;2.364701;1.353553;-0.326641;2.340905;1.277785;-0.384089;(-0.365101, 0.632564, -0.683055);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;476;sphere_reflective;2.345671;0.584265;-0.230970;2.364701;0.646447;-0.326641;2.393697;0.584265;-0.256640;(-0.299909, -0.771506, -0.561100);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;477;sphere_reflective;2.269030;1.277785;-0.345671;2.323223;1.191342;-0.426776;2.243360;1.191342;-0.384089;(-0.416174, 0.469629, -0.778619);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;478;sphere_reflective;2.393696;0.538060;-0.159095;2.393697;0.584265;-0.256640;2.426777;0.538060;-0.176777;(-0.223049, -0.880971, -0.417300);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;479;sphere_reflective;2.227553;1.097545;-0.407746;2.323223;1.191342;-0.426776;2.312335;1.097545;-0.453063;(-0.451282, 0.289000, -0.844288);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;480;sphere_reflective;2.393697;1.415735;-0.256640;2.431025;1.353553;-0.346760;2.364701;1.353553;-0.326641;(-0.184685, 0.771505, -0.608828);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;481;sphere_reflective;2.364701;0.646447;-0.326641;2.418894;0.722215;-0.407746;2.431025;0.646447;-0.346760;(-0.224827, -0.632560, -0.741161);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;482;sphere_reflective;2.364701;1.353553;-0.326641;2.418894;1.277785;-0.407746;2.340905;1.277785;-0.384089;(-0.224822, 0.632563, -0.741161);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;483;sphere_reflective;2.393697;0.584265;-0.256640;2.431025;0.646447;-0.346760;2.445807;0.584265;-0.272447;(-0.184681, -0.771506, -0.608828);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;484;sphere_reflective;2.340905;1.277785;-0.384089;2.409880;1.191342;-0.453063;2.323223;1.191342;-0.426776;(-0.256282, 0.469624, -0.844851);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;485;sphere_reflective;2.426777;0.538060;-0.176777;2.445807;0.584265;-0.272447;2.462671;0.538060;-0.187665;(-0.137350, -0.880971, -0.452797);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;486;sphere_reflective;2.312335;1.097545;-0.453063;2.409880;1.191342;-0.453063;2.404329;1.097545;-0.480970;(-0.277906, 0.289010, -0.916101);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
